Meeting Year,Meeting Month,Meeting Day,Meeting Hour,Meeting Minute,Meeting Second,RX Node,TX Node,RSSI,Received Year,Received Month,Received Day,Received Hour,Received Minute,Received Second,Received RSSI,
2023,11,10,12,23,42,42,69,-62,2023,11,10,13,19,21,-66,
2023,11,10,12,23,50,42,69,-64,2023,11,10,13,19,21,-66,
2023,11,10,12,23,52,42,69,-58,2023,11,10,13,19,21,-66,
2023,11,10,12,23,54,42,69,-56,2023,11,10,13,19,21,-66,
2023,11,10,12,23,56,42,69,-62,2023,11,10,13,19,21,-66,
2023,11,10,12,23,58,42,69,-54,2023,11,10,13,19,21,-66,
2023,11,10,12,24,0,42,69,-44,2023,11,10,13,19,21,-66,
2023,11,10,12,24,2,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,4,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,6,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,8,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,10,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,12,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,14,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,16,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,18,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,20,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,22,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,24,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,26,42,73,-64,2023,11,10,13,19,21,-66,
2023,11,10,12,24,26,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,28,42,73,-64,2023,11,10,13,19,21,-66,
2023,11,10,12,24,28,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,30,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,32,42,73,-66,2023,11,10,13,19,21,-66,
2023,11,10,12,24,32,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,34,42,73,-66,2023,11,10,13,19,21,-66,
2023,11,10,12,24,34,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,36,42,73,-66,2023,11,10,13,19,21,-66,
2023,11,10,12,24,36,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,38,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,40,42,73,-58,2023,11,10,13,19,21,-66,
2023,11,10,12,24,40,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,42,42,73,-54,2023,11,10,13,19,21,-66,
2023,11,10,12,24,42,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,44,42,73,-48,2023,11,10,13,19,21,-66,
2023,11,10,12,24,44,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,46,42,73,-48,2023,11,10,13,19,21,-66,
2023,11,10,12,24,46,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,48,42,73,-50,2023,11,10,13,19,21,-66,
2023,11,10,12,24,48,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,50,42,73,-36,2023,11,10,13,19,21,-66,
2023,11,10,12,24,50,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,52,42,73,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,52,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,54,42,73,-40,2023,11,10,13,19,21,-66,
2023,11,10,12,24,54,42,69,-34,2023,11,10,13,19,21,-66,
2023,11,10,12,24,56,42,73,-32,2023,11,10,13,19,21,-66,
2023,11,10,12,24,56,42,69,-36,2023,11,10,13,19,21,-66,
2023,11,10,12,24,58,42,73,-32,2023,11,10,13,19,21,-66,
2023,11,10,12,25,0,42,73,-34,2023,11,10,13,29,8,-63,
2023,11,10,12,25,0,42,69,-36,2023,11,10,13,29,8,-63,
2023,11,10,12,25,2,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,2,42,69,-26,2023,11,10,13,29,8,-63,
2023,11,10,12,25,4,42,73,-34,2023,11,10,13,29,8,-63,
2023,11,10,12,25,4,42,69,-26,2023,11,10,13,29,8,-63,
2023,11,10,12,25,6,42,73,-42,2023,11,10,13,29,8,-63,
2023,11,10,12,25,6,42,69,-20,2023,11,10,13,29,8,-63,
2023,11,10,12,25,8,42,73,-30,2023,11,10,13,29,8,-63,
2023,11,10,12,25,8,42,69,-24,2023,11,10,13,29,8,-63,
2023,11,10,12,25,10,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,10,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,12,42,73,-26,2023,11,10,13,29,8,-63,
2023,11,10,12,25,12,42,69,-24,2023,11,10,13,29,8,-63,
2023,11,10,12,25,14,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,14,42,69,-20,2023,11,10,13,29,8,-63,
2023,11,10,12,25,16,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,16,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,18,42,73,-42,2023,11,10,13,29,8,-63,
2023,11,10,12,25,18,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,20,42,73,-24,2023,11,10,13,29,8,-63,
2023,11,10,12,25,20,42,69,-26,2023,11,10,13,29,8,-63,
2023,11,10,12,25,22,42,73,-26,2023,11,10,13,29,8,-63,
